Altium Designer Pick and Place Locations
C:\Users\Elio Fagundez\Documents\GitHub\Iot-GreenHouse-hardware\Altium Files\09.12.2024\Manufacturing\Assembly\Pick Place\IoT_Greenhouse V1.0 A_A_2024-09-12.csv

========================================================================================================================
File Design Information:

Date:       12/09/24
Time:       11:22
Revision:   3d9c718009b522a968df66c122dc8597efde09fb
Variant:    Base Variant
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","GRM188R61E106MA73D","TopLayer","CAP_0603_CAPC1608X08N","34.2392","67.1576","270","Multilayer Ceramic Capacitor, 10 uF, 25 V, ± 20%, X5R, 0603 [1608 Metric]"
"C2","GRM188R61E106MA73D","TopLayer","CAP_0603_CAPC1608X08N","67.1830","40.6400","0","Multilayer Ceramic Capacitor, 10 uF, 25 V, ± 20%, X5R, 0603 [1608 Metric]"
"C3","CL10A105KO8NNNC","TopLayer","CAP_0603_CAPC1608X08N","68.0814","36.5586","90","CAP CER 1UF 16V X5R 0603"
"C4","CL10A105KO8NNNC","TopLayer","CAP_0603_CAPC1608X08N","49.5300","70.2056","270","CAP CER 1UF 16V X5R 0603"
"C5","GRM188R61E106MA73D","TopLayer","CAP_0603_CAPC1608X08N","52.5526","71.8566","270","Multilayer Ceramic Capacitor, 10 uF, 25 V, ± 20%, X5R, 0603 [1608 Metric]"
"C6","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","53.8480","71.5264","270","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"C7","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","87.1728","71.5772","180","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"C8","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","45.5676","71.4502","180","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"C9","GMK107BJ105KA-T","TopLayer","CAP_0603_CAPC1608X08N","94.0562","15.4432","180","Multilayer Ceramic Capacitors (High dielectric type), 35V, 1 uF, ± 10 %, 0603, X5R, RoHS"
"C10","GMK107BJ105KA-T","TopLayer","CAP_0603_CAPC1608X08N","107.8738","15.5194","180","Multilayer Ceramic Capacitors (High dielectric type), 35V, 1 uF, ± 10 %, 0603, X5R, RoHS"
